id,titulo,empresa,link,data_coleta
2fa362e1,"Eletricista de Manutenção - Força e Controle
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/11073203?jobBoardSource=gupy_public_page,
a694cd79,"Encanador de Obras
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/11072457?jobBoardSource=gupy_public_page,
47547e1a,"Engenheiro(a) de Desenvolvimento de Produto
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/11144041?jobBoardSource=gupy_public_page,
1092ffcd,"Engenheiro de HSE (Saúde, Segurança e Meio Ambiente) - Divisão 14
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/11145030?jobBoardSource=gupy_public_page,
852ead35,"Engenheiro de Projetos - Fábrica de Componentes
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10982087?jobBoardSource=gupy_public_page,
ec965d37,"Engenheiro de Qualidade - Fábrica de Acessórios
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10348188?jobBoardSource=gupy_public_page,
92f75e71,"Engenheiro de Segurança do Trabalho - Fábrica de Soldagem
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10347102?jobBoardSource=gupy_public_page,
24ad6bd0,"Engenheiro de Segurança do Trabalho Pleno
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/11136219?jobBoardSource=gupy_public_page,
749bcc25,"Engenheiro de Segurança e Meio Ambiente
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/11060415?jobBoardSource=gupy_public_page,
74f7c000,"Engenheiro Eletricista
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10725027?jobBoardSource=gupy_public_page,
dc4c86b1,"Especialista de Compliance (Inglês Avançado/Fluente)
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/11071329?jobBoardSource=gupy_public_page,
25517769,"Especialista de HSE (Inglês Avançado/Fluente)
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/11071131?jobBoardSource=gupy_public_page,
c0f9d46c,"Especialista de Projetos de TI (PMO) - Mandarim Avançado/Fluente / 高级汉语/流利汉语
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/10963954?jobBoardSource=gupy_public_page,
ccd48b85,"Especialista de Relações Trabalhistas (Inglês Avançado/Fluente)
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/11136087?jobBoardSource=gupy_public_page,
27a28f9f,"Gerente de Fábrica
Camaçari - BA
Efetivo",BYD,https://bydbrasil.gupy.io/jobs/11113108?jobBoardSource=gupy_public_page,
